user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
0,0,4.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5635,10.9555,7.7467,0.9034,0.0163,70.4068,103.9282,0.7136,0.1455,5.5185,15.0,0.6998,3.9683,0.0
1,0,4.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269,7.2984,5.1607,0.8011,0.0301,113.8277,99.8799,0.1111,0.5808,4.9864,14.0,-0.0,1.9022,0.0
2,0,4.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158,11.7971,8.3418,0.9179,0.0139,49.5957,182.2457,0.6991,0.1681,5.4169,12.0,0.8113,3.2698,0.0
3,0,5.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275,11.3302,8.0117,0.8425,0.0222,55.5133,124.2414,0.4796,0.1862,5.0936,20.0,1.1918,1.6708,0.0
4,0,5.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4537,10.7565,7.606,0.8752,0.0197,69.0214,134.2673,0.5922,0.1922,5.2011,13.0,1.1982,2.3132,0.0
5,0,4.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4689,9.5867,6.7788,0.8745,0.0208,81.1566,98.4226,0.6122,0.1786,5.3517,10.0,0.469,2.3923,0.0
6,0,4.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362,11.7849,8.3332,0.8992,0.0163,50.7525,190.7787,0.6216,0.1931,5.0642,6.0,1.4591,1.2422,0.0
7,0,5.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,11.7238,8.29,0.8636,0.0201,71.9708,92.2929,0.6098,0.1647,5.1056,29.0,0.8996,3.3295,0.0
8,0,3.0,3.57,-3.5571,35.061,0.0133,0.2348,0.7765,1096.3201,4.8586,2.2938,-3.578,-3.833,0.1111,0.649,12.9147,9.1321,0.9277,0.0121,54.3312,223.9517,0.7626,0.1362,5.5581,22.0,1.2433,5.5556,0.0
9,0,4.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987,8.6349,6.1058,0.8505,0.0243,111.2925,62.6873,0.5455,0.1818,4.9339,7.0,0.5917,1.4925,0.0
10,0,3.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145,11.6987,8.2722,0.8936,0.017,72.1317,116.162,0.688,0.1429,5.0232,8.0,0.5436,1.5474,0.0
11,0,3.0,3.21,-3.1509,23.3563,0.0308,0.2892,0.7231,1778.9785,4.3299,5.819,-3.1509,-3.5792,0.0736,0.6158,8.7733,6.2036,0.9087,0.0172,120.3621,73.8269,0.752,0.136,4.6158,5.0,-0.0,2.4631,0.0
12,0,5.0,4.54,-3.0579,21.2837,0.0153,0.256,0.7593,1442.4376,4.1652,2.8972,-3.0579,-3.5327,0.1639,0.5878,9.8184,6.9427,0.9056,0.0168,91.7254,91.1299,0.6951,0.1585,4.9104,11.0,0.8659,3.9427,0.0
13,0,1.0,2.64,-3.0473,21.0583,0.0248,0.2996,0.6908,1413.7786,3.6187,2.9283,-3.0473,-3.4867,0.1501,0.4582,8.2349,5.823,0.8649,0.0234,130.5486,47.1669,0.6554,0.0946,4.418,4.0,0.8113,1.2384,0.0
14,0,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543,9.7447,6.8905,0.8713,0.021,110.8696,66.0833,0.6124,0.1914,4.5587,8.0,0.8113,1.7391,0.0
15,0,5.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266,9.95,7.0357,0.8909,0.0186,116.1249,96.2022,0.7128,0.133,4.9328,2.0,-0.0,0.5602,0.0
16,0,4.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4009,10.4231,7.3702,0.8597,0.0215,93.0465,126.7425,0.5867,0.1734,5.4704,40.0,0.7726,5.9172,0.0
17,0,4.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3874,10.1325,7.1648,0.8547,0.0223,92.2934,82.2897,0.6038,0.1623,4.9751,25.0,0.6396,3.655,0.0
18,0,4.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684,9.364,6.6213,0.8457,0.0238,82.9108,68.1889,0.5,0.2185,4.7755,15.0,1.053,2.322,0.0
19,0,5.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,8.909,6.2996,0.7773,0.0282,65.7948,134.9858,0.1783,0.2565,5.2348,67.0,0.7141,2.5131,0.0
20,0,5.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4264,9.8821,6.9877,0.8644,0.0216,110.8302,67.6929,0.6201,0.1703,4.9088,14.0,1.3788,2.6071,0.0
21,0,4.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4906,10.1014,7.1427,0.8823,0.0195,89.7784,106.1223,0.6538,0.1587,4.8585,10.0,1.4855,2.3585,0.0
22,0,5.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4702,10.0076,7.0765,0.8766,0.0202,115.5895,81.9647,0.615,0.2113,4.7682,8.0,1.0,1.766,0.0
23,0,4.0,3.92,-2.8489,17.268,0.007,0.2715,0.6961,1067.5568,4.0244,3.3501,-2.8489,-3.3456,0.1483,0.5814,9.3386,6.6034,0.9023,0.0176,130.4008,91.0846,0.7867,0.0933,5.2209,3.0,0.9183,1.1628,0.0
24,0,4.0,3.93,-2.6714,14.4599,0.0168,0.2773,0.7395,1330.5735,3.624,6.001,-2.6714,-3.2042,0.0888,0.4941,7.8904,5.5794,0.8728,0.023,159.3233,64.4332,0.6349,0.1587,4.5569,2.0,-0.0,0.7843,0.0
25,0,5.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4197,9.8251,6.9474,0.8623,0.0218,116.815,91.0489,0.5696,0.2217,4.7044,4.0,-0.0,0.7299,0.0
26,0,5.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544,9.3558,6.6155,0.8415,0.0242,75.4618,112.4779,0.3846,0.3077,4.9369,15.0,1.3996,2.1521,0.0
27,0,3.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679,9.6284,6.8083,0.8468,0.0235,90.106,101.7524,0.5556,0.2024,5.0891,19.0,0.5907,2.7737,0.0
28,0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,7.2046,5.0944,0.7892,0.0309,161.6583,44.3139,0.3333,0.3196,4.4524,10.0,0.7219,1.0823,0.0
29,0,4.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4263,9.6184,6.8012,0.8632,0.0219,156.4762,61.3461,0.6175,0.1889,4.6149,7.0,0.8631,1.3752,0.0
30,0,4.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4806,11.1783,7.9042,0.8836,0.0185,72.0238,132.1999,0.6231,0.1769,5.329,7.0,0.5917,1.2939,0.0
31,0,5.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4172,8.9965,6.3615,0.8577,0.0232,98.231,91.7197,0.567,0.1701,4.8645,8.0,0.8113,1.7204,0.0
32,0,5.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369,11.8878,8.4059,0.8564,0.0207,61.813,103.1731,0.517,0.1984,5.0356,20.0,0.9918,1.9268,0.0
33,0,4.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4626,13.3102,9.4117,0.8853,0.0171,54.3478,129.8342,0.611,0.1958,5.1896,23.0,0.8077,2.7778,0.0
34,0,5.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937,9.837,6.9558,0.882,0.0197,57.484,150.0426,0.5306,0.2398,5.2393,7.0,0.5917,1.7632,0.0
35,0,4.0,3.94,-3.2472,25.7176,0.0363,0.2977,0.6584,2018.8206,4.0916,7.9765,-3.2472,-3.621,0.0469,0.5079,9.0427,6.3941,0.8824,0.0204,84.7854,101.2343,0.5963,0.1925,4.817,6.0,-0.0,1.8927,0.0
36,0,5.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061,10.2599,7.2548,0.8868,0.0188,62.2776,115.9005,0.6202,0.1635,5.5231,7.0,0.5917,1.7032,0.0
37,0,5.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866,11.1173,7.8611,0.8849,0.0184,70.9032,112.1627,0.6535,0.1654,5.0153,13.0,0.9913,2.4904,0.0
38,0,4.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5441,10.8407,7.6656,0.8983,0.017,64.5902,144.2406,0.6898,0.1296,5.1259,3.0,0.9183,0.7557,0.0
39,0,2.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946,10.6894,7.5586,0.8855,0.0186,67.4037,118.5528,0.5584,0.2511,5.0942,9.0,0.7642,1.9272,0.0
40,0,4.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262,8.7343,6.1761,0.8588,0.0234,141.3832,53.186,0.6145,0.1564,4.6024,7.0,0.8631,1.6667,0.0
41,0,5.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4843,9.8414,6.9589,0.8796,0.02,65.3108,117.5495,0.58,0.18,5.0291,4.0,-0.0,0.9685,0.0
42,0,5.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3892,9.316,6.5874,0.8514,0.0234,128.4687,47.8914,0.6278,0.157,4.2182,6.0,1.0,1.0471,0.0
43,0,5.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4587,8.882,6.2806,0.8685,0.0222,114.2044,67.0634,0.6163,0.157,5.0213,4.0,0.8113,1.0667,0.0
44,0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125,9.7368,6.885,0.8865,0.0193,77.0405,117.8746,0.6541,0.1297,4.9695,5.0,0.7219,1.385,0.0
45,0,2.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3602,8.0292,5.6775,0.8355,0.0265,185.4183,44.626,0.5419,0.2067,4.6579,6.0,0.65,1.2072,0.0
46,0,5.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4708,8.7059,6.156,0.8709,0.0221,100.2018,61.8574,0.5714,0.2236,4.9152,5.0,0.971,1.462,0.0
47,0,4.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3923,10.7946,7.633,0.8589,0.0213,72.8035,110.1629,0.596,0.138,5.0515,27.0,0.455,3.5667,0.0
48,0,4.0,4.09,-3.4505,31.5146,0.02,0.2483,0.6452,1667.6253,4.8857,4.3087,-3.4505,-3.8388,0.0901,0.7127,11.8192,8.3575,0.9397,0.0107,38.6116,244.9125,0.7602,0.1582,5.4182,9.0,0.5033,3.2727,0.0
49,0,5.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4602,9.3758,6.6297,0.8713,0.0214,87.676,92.1251,0.5707,0.2199,4.906,4.0,-0.0,0.9639,0.0
50,0,4.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459,10.5015,7.4257,0.8977,0.0173,64.1344,140.0296,0.6485,0.1733,5.1459,3.0,-0.0,0.8108,0.0
51,0,4.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3426,7.4264,5.2512,0.8259,0.0283,144.4998,55.5087,0.5776,0.1118,4.7872,8.0,0.8113,1.7021,0.0
52,0,4.0,4.03,-3.7661,43.2105,0.0115,0.225,0.6942,1406.3827,4.9241,2.7965,-3.7661,-4.0435,0.0992,0.7129,12.6934,8.9756,0.9412,0.0102,33.8345,317.0,0.7743,0.146,5.3312,6.0,1.2516,1.8927,0.0
53,0,5.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5221,10.8148,7.6472,0.8928,0.0177,77.4827,105.5123,0.6339,0.192,4.9207,6.0,1.4591,1.3986,0.0
54,0,5.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127,10.9961,7.7754,0.8652,0.0205,84.269,111.5828,0.5768,0.2014,4.8352,24.0,1.3249,3.3803,0.0
55,0,5.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532,9.9632,7.0451,0.813,0.0255,80.0316,128.5341,0.3801,0.2143,5.0678,11.0,1.0958,0.7106,0.0
56,0,5.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722,12.7545,9.0188,0.9325,0.0115,50.463,230.6247,0.781,0.1116,5.3083,16.0,0.3373,4.4444,0.0
57,0,5.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4964,10.1615,7.1852,0.884,0.0192,84.9847,94.1514,0.6442,0.149,4.9045,5.0,0.971,1.1933,0.0
58,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,8.2549,5.8371,0.8568,0.0242,147.6304,52.49,0.6352,0.1384,4.6119,5.0,1.5219,1.3477,0.0
59,0,4.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071,16.062,11.3576,0.8508,0.0188,118.5392,118.4472,0.5476,0.1786,5.0252,103.0,1.2004,3.766,1.0
60,0,4.0,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5043,12.1762,8.6099,0.8925,0.0169,61.1376,100.6709,0.6088,0.2075,4.765,13.0,0.6194,2.2298,0.0
61,0,5.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4561,13.5909,9.6102,0.8844,0.017,52.375,144.8075,0.5753,0.2,5.0597,20.0,0.9918,2.2523,0.0
62,0,4.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4564,10.0207,7.0857,0.873,0.0205,104.4231,89.6633,0.65,0.1591,4.7427,4.0,-0.0,0.8299,0.0
63,0,5.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674,16.0633,11.3584,0.839,0.0197,48.1801,137.8151,0.4777,0.1762,5.1189,123.0,1.221,3.4081,3.0
64,0,5.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4288,10.7798,7.6225,0.8687,0.0204,70.4515,83.1794,0.583,0.1956,4.9494,12.0,1.614,1.8987,0.0
65,0,4.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139,9.0295,6.3848,0.8569,0.0232,144.9403,41.8495,0.6497,0.1472,4.4076,4.0,-0.0,0.8403,0.0
66,0,4.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111,8.5541,6.0487,0.8536,0.0241,127.3675,56.8791,0.618,0.1517,4.9007,5.0,0.7219,1.1547,0.0
67,0,4.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444,7.8071,5.5205,0.8292,0.0274,160.3355,57.6191,0.5424,0.1977,4.3444,3.0,0.9183,0.5837,0.0
68,0,4.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4692,11.503,8.1339,0.8817,0.0185,48.3387,206.6395,0.5248,0.266,5.1364,13.0,0.9913,2.1631,0.0
69,0,4.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,11.1883,7.9113,0.8581,0.021,97.8633,131.1144,0.5644,0.2117,5.1708,49.0,0.6588,5.7715,1.0
70,0,5.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3133,9.3165,6.5878,0.829,0.0252,62.9594,140.3836,0.3321,0.2671,5.0271,7.0,1.1488,0.7919,0.0
71,0,5.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4162,9.4813,6.7043,0.8598,0.0224,123.1062,71.3597,0.5741,0.2037,4.684,6.0,-0.0,1.1561,0.0
72,0,5.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,8.3262,5.8875,0.8255,0.0268,145.6299,63.9633,0.5463,0.1528,4.5097,12.0,1.0409,1.7831,0.0
73,0,4.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4637,10.4605,7.3967,0.8767,0.0198,64.6902,126.8678,0.6017,0.1653,4.9332,9.0,-0.0,1.7682,0.0
74,0,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047,9.4165,6.6585,0.8268,0.0252,112.6066,67.6548,0.4536,0.244,4.7801,29.0,0.5788,3.0366,0.0
75,0,4.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3917,8.581,6.0677,0.8482,0.0246,185.9375,53.0815,0.5957,0.2181,4.2479,6.0,0.65,1.25,0.0
0,1,4.0,4.2,-3.6973,40.3386,0.024,0.2969,0.7882,1024.8341,4.9783,6.1312,-3.6973,-4.0094,0.0509,0.539,9.4587,6.6883,0.8921,0.0188,90.8669,111.3169,0.5904,0.259,5.013,4.0,0.8113,1.2987,0.0
1,1,4.0,3.85,-3.4755,32.3127,0.009,0.2207,0.7733,1027.4565,4.7488,4.2202,-3.5366,-3.9483,0.0976,0.5759,12.9682,9.1699,0.9114,0.0142,72.1263,178.0529,0.7021,0.1644,5.7771,39.0,1.1106,7.6923,0.0
2,1,2.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4172,14.3566,10.1516,0.8765,0.0175,50.5045,202.6439,0.5769,0.1802,5.163,35.0,0.9977,2.9561,0.0
3,1,5.0,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239,11.2544,7.9581,0.8411,0.0224,57.7822,122.6135,0.4859,0.1841,5.0489,20.0,1.1918,1.657,0.0
4,1,2.0,2.84,-3.376,29.2548,0.0378,0.3401,0.7398,1408.25,3.9654,2.769,-3.1013,-3.444,0.1238,0.482,10.4835,7.4129,0.8815,0.0192,138.5605,52.2145,0.6491,0.2105,4.4249,9.0,0.7642,1.9027,0.0
5,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3398,7.6898,5.4375,0.827,0.0277,171.3562,48.4891,0.546,0.1839,4.7246,7.0,-0.0,1.3672,0.0
6,1,4.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4847,10.7408,7.5949,0.8831,0.0189,105.5247,108.3967,0.6513,0.1891,4.7128,6.0,1.4591,1.222,0.0
7,1,4.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4187,8.5595,6.0525,0.8557,0.0239,148.2338,48.8018,0.6171,0.1714,4.9833,10.0,0.7219,2.3923,0.0
8,1,3.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5073,11.103,7.851,0.89,0.0178,59.9718,82.9638,0.6132,0.1852,4.8831,6.0,1.2516,1.2526,0.0
9,1,3.0,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024,9.7654,6.9052,0.8573,0.0224,84.9761,94.3865,0.5823,0.1688,4.9966,18.0,0.5033,3.056,0.0
10,1,4.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3605,7.7824,5.503,0.834,0.027,174.5289,39.4637,0.631,0.1488,4.1524,3.0,-0.0,0.6438,0.0
11,1,4.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4734,8.7029,6.1538,0.8716,0.0221,100.1365,86.2557,0.6188,0.1312,4.8964,3.0,-0.0,0.8876,0.0
12,1,5.0,4.5,-3.1835,24.1312,0.0358,0.3058,0.688,1537.8212,3.6523,3.6343,-3.3891,-3.7906,0.1105,0.352,8.2848,5.8582,0.8347,0.0262,147.1412,47.1059,0.5692,0.1897,4.4693,5.0,-0.0,0.9025,0.0
13,1,5.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721,12.4866,8.8294,0.8593,0.02,111.7144,126.2784,0.5823,0.179,5.1323,53.0,0.8082,4.7069,0.0
14,1,5.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561,11.0084,7.7841,0.9029,0.0163,62.2027,192.5,0.6667,0.1759,5.7351,6.0,-0.0,1.5584,0.0
15,1,4.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5284,10.6337,7.5192,0.8938,0.0177,61.2102,153.2061,0.6402,0.1542,4.8988,4.0,0.8113,0.9877,0.0
16,1,4.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2914,11.8137,8.3535,0.8335,0.0225,88.3031,150.8376,0.4635,0.2046,5.385,90.0,0.5015,5.4745,0.0
17,1,4.0,3.56,-4.363,78.4923,0.0168,0.3193,0.7983,1026.4958,5.7136,3.212,-4.363,-4.8902,0.1641,0.8659,7.8406,5.5442,0.9673,0.0074,44.6163,171.1564,0.8873,0.0845,5.2683,2.0,1.0,2.439,0.0
